"quantity_name","units"
"sunlit_GrossAssim_layer_2","micromole / m^2 /s"
"sunlit_GrossAssim_layer_2","Mg / ha / hr"
"sunlit_GrossAssim_layer_3","micromole / m^2 /s"
"sunlit_GrossAssim_layer_3","Mg / ha / hr"
"sunlit_GrossAssim_layer_4","micromole / m^2 /s"
"sunlit_GrossAssim_layer_4","Mg / ha / hr"
"sunlit_GrossAssim_layer_5","micromole / m^2 /s"
"sunlit_GrossAssim_layer_5","Mg / ha / hr"
"sunlit_GrossAssim_layer_6","micromole / m^2 /s"
"sunlit_GrossAssim_layer_6","Mg / ha / hr"
"sunlit_GrossAssim_layer_7","micromole / m^2 /s"
"sunlit_GrossAssim_layer_7","Mg / ha / hr"
"sunlit_GrossAssim_layer_8","micromole / m^2 /s"
"sunlit_GrossAssim_layer_8","Mg / ha / hr"
"sunlit_GrossAssim_layer_9","micromole / m^2 /s"
"sunlit_GrossAssim_layer_9","Mg / ha / hr"
"sunlit_Gs_layer_0","mmol / m^2 / s"
"sunlit_Gs_layer_1","mmol / m^2 / s"
"sunlit_Gs_layer_2","mmol / m^2 / s"
"sunlit_Gs_layer_3","mmol / m^2 / s"
"sunlit_Gs_layer_4","mmol / m^2 / s"
"sunlit_Gs_layer_5","mmol / m^2 / s"
"sunlit_Gs_layer_6","mmol / m^2 / s"
"sunlit_Gs_layer_7","mmol / m^2 / s"
"sunlit_Gs_layer_8","mmol / m^2 / s"
"sunlit_Gs_layer_9","mmol / m^2 / s"
"sunlit_incident_ppfd_layer_0","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_1","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_2","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_3","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_4","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_5","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_6","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_7","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_8","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_9","micromol / (m^2 leaf) / s"
"sunlit_leaf_temperature_layer_0","deg. C"
"sunlit_leaf_temperature_layer_1","deg. C"
"sunlit_leaf_temperature_layer_2","deg. C"
"sunlit_leaf_temperature_layer_3","deg. C"
"sunlit_leaf_temperature_layer_4","deg. C"
"sunlit_leaf_temperature_layer_5","deg. C"
"sunlit_leaf_temperature_layer_6","deg. C"
"sunlit_leaf_temperature_layer_7","deg. C"
"sunlit_leaf_temperature_layer_8","deg. C"
"sunlit_leaf_temperature_layer_9","deg. C"
"sunlit_TransR_layer_0","mmol / m^2 / s"
"sunlit_TransR_layer_1","mmol / m^2 / s"
"sunlit_TransR_layer_2","mmol / m^2 / s"
"sunlit_TransR_layer_3","mmol / m^2 / s"
"sunlit_TransR_layer_4","mmol / m^2 / s"
"sunlit_TransR_layer_5","mmol / m^2 / s"
"sunlit_TransR_layer_6","mmol / m^2 / s"
"sunlit_TransR_layer_7","mmol / m^2 / s"
"sunlit_TransR_layer_8","mmol / m^2 / s"
"sunlit_TransR_layer_9","mmol / m^2 / s"
"sunrise","No units found"
"sunset","No units found"
"talpha","dimensionless"
"target_time","No units found"
"tbase","degrees C"
"tbase","degrees C, base temperature"
"Tbase_emr","degrees C; base temp for thermal time from sowing to emergence"
"tbeta","dimensionless"
"temp","degrees C"
"temp","deg. C"
"Tfrosthigh","degrees C"
"Tfrostlow","degrees C"
"theta","dimensionless"
"time","days"
"time","time expressed as a fractional day of year"
"time_zone_offset","the offset of the time zone relative to UTC"
"Tleaf","degrees C"
"tmax","degrees C"
"Tmax_emrV0","degrees C"
"Tmax_R0R1","degrees C"
"Tmax_R1R7","degrees C"
"Tmin_emrV0","degrees C"
"Tmin_R0R1","degrees C"
"Tmin_R1R7","degrees C"
"TOC1_mRNA","No units found"
"TOC1_prot","No units found"
"topt","degrees C"
"Topt_emrV0","degrees C"
"topt_lower","degrees C"
"Topt_R0R1","degrees C"
"Topt_R1R7","degrees C"
"topt_upper","degrees C"
"total_biomass","Mg / ha"
"total_energy","J"
"tp1","No units found"
"tp2","No units found"
"tp3","No units found"
"tp4","No units found"
"tp5","No units found"
"tpu_rate_max","micromol / m^2 / s"
"tpu_rate_max","micromole / m^2 / s"
"tracker_rate","No units found"
"transpiration_rate","No units found"
"TransR","mmol / m^2 / s"
"TTc","degree C * day"
"TTc","degrees C * day / hr"
"ttc_scale","degrees C * day / hr"
"TTemr","degrees C * days, thermal time from sowing to emergence"
"TTemr_threshold","degrees C * days; accumulated thermal time for emergence"
"TTrep","degrees C * days, thermal time of reproductive states"
"TTveg","degrees C * days, thermal time of vegetative states"
"tupper","degrees C"
"u","No units found"
"upperT","degrees C"
"upperT","deg. C"
"v","No units found"
"vapor_density_deficit","kg / m^3"
"Vcmax","No units found"
"velocity","m / s"
"velocity","m / s^2"
"vmax","micromol / m^2 / s"
"vmax_n_intercept","No units found"
"vmax1","micromol / m^2 / s"
"vmax1","micromole / m^2 / s"
"water_stress_approach","dimensionless"
"water_stress_approach","a dimensionless switch"
"water_stress_approach","dimensionless switch"
"water_vapor_pressure","Pa"
"windspeed","m / s"
"windspeed_height","m"
"windspeed_layer_0","m / s"
"windspeed_layer_1","m / s"
"windspeed_layer_2","m / s"
"windspeed_layer_3","m / s"
"windspeed_layer_4","m / s"
"windspeed_layer_5","m / s"
"windspeed_layer_6","m / s"
"windspeed_layer_7","m / s"
"windspeed_layer_8","m / s"
"windspeed_layer_9","m / s"
"wsFun","No units found"
"x","unitless"
"y","unitless"
"year","a year between 1950 and 2050"
"ZTL","No units found"
